Patent Summary,Result
"본 발명은 샘플을 수용하여 생물학적, 화학적 또는 생화학적 반응을 수행하고, 바코드 또는 RF IC를 구비하는 바이오 디스크 또는 바이오 칩; 상기 바이오 디스크 또는 바이오 칩에서 수행된 반응을 분석하고, 상기 바코드 또는 RF IC를 읽는 리더기를 구비하여 서버의 연결 유무에 관계없이 상기 바이오 디스크 또는 바이오 칩을 인증하거나 측정 데이터를 RF IC에 기록하는 바이오 분석 장치; 상기 사용자 단말기상에 소프트웨어 형태로 상주하여 상기 바이오 분석 장치의 사용 방법을 안내하거나 지시하고 사용자와의 상담 서비스를 제공하는 가상 의사; 의료 전문가 또는 가상 의사와의 상담 서비스를 제공하는 사용자 단말기; 사용자와의 상담 서비스를 제공하는 의료 전문가 단말기; 및 상담 전문가로서 정기 검진 기간 동안에는 의료 전문가를 사용자에게 연결하고 그 외 기간 동안에는 가상 의사를 사용자에게 연결하고 사용자가 의료 전문가와 상담해야 하는 정기 검진 기간을 경과한 경우 사용자와 가상 의사와의 상담 서비스 연결을 차단하는 원격 진단 서버를 포함하는 원격 의료 진단 시스템, 및 이를 이용한 원격 의료 진단 방법을 제공한다.",등록
"본 발명은 컴퓨터, PDA, 휴대폰을 포함하는 각종 단말기의 입력장치에 관한 것으로, 더욱 상세하게는 단말기의 포인터 이동을 위한 포인팅 입력, 펜글씨 입력, 그림 그리기 입력 등을 하는데 있어 본 발명상의 입력장치를 사용하여 편리하게 수행하도록 하는데 그 목적이 있다. 이를 위하여 외형적인 형태는 일반적인 볼펜의 모양으로 구현하고, 장치의 이동 좌표를 추출하기 위한 이미지 센서와 이미지의 대상이 되는 회전볼, 장치를 제어하는 제어부, 단말기와 통신하는 통신부로 구성이 된다. 본 발명을 통하여 단말기 사용자가 볼펜을 사용하듯 편리하게 포인터이동, 펜글씨, 그리기 등을 단말기에 입력할 수 있는 것에 특징이 있다. 입력장치, 마우스, 펜, 이미지센서, 패턴, 볼, 컴퓨터, 단말기, 포인팅",거절
"본 발명은 수신자 부담 다이렉트콜 다기능 전화기를 이용한 수신자 부담 전화번호 검색방법에 관한 것이다. 본 발명은 자체의 메모리에 저장된 수신자 부담 전화번호와, 외부의 특정 서버에 저장된 수신자 부담 전화번호를 문자, 음성 및 메뉴 등과 같은 다양한 방식으로 실시간 검색하고, 또한 발신번호 표시모듈을 이용하여 외부의 특정 서버에 저장된 수신자 부담 전화번호를 검색하는 수신자 부담 다이렉트콜 다기능 전화기 및 이것을 이용한 수신자 부담 전화번호 검색방법을 제공하기 위해, 문자, 음성 및 메뉴 등과 같은 다양한 방식을 이용하여 가입자 전화기의 메모리부에 저장된 수신자 부담 전화번호를 검색하거나 혹은 외부의 서버에 저장된 수신자 부담 전화번호를 검색하는 수신자 부담 다이렉트콜 다기능 전화기 및 이것을 이용한 수신자 부담 전화번호 검색방법을 제공하고 있다. 수신자, 부담, 다기능 전화기, 전화번호, 발신번호, 표시, 일반 전화망",등록
"본 발명은 사용자가 자신의 메일주소로 수신한 메일 내에서 회원가입, 경매안내, 경매참여를 수행하도록 하고, 경매가 진행되는 동안 인터넷자키의 실시간 동영상 경매안내를 받으면서 진행하도록 하며, 경매의 참여자들이 인터넷상에서 함께 모여서 실시간배팅을 하도록 함으로써 사용자편의성과 경매참여율을 획기적으로 향상시킬 뿐만 아니라, 경매의 재미를 느낄 수 있도록 한 인터넷메일경매시스템 및 그 경매방법에 관한 것으로서, 이 경매방법은 소정의 인터넷메일주소를 가진 사용자가 메일경매 및 메일경매사이트를 소개하는 메일을 수신하는 단계와; 상기 메일 내에서 아이디 및 비밀번호를 포함하는 사용자정보를 입력하여 상기 메일경매사이트의 회원으로 가입하는 단계와; 경매프로그램을 인스톨하는 단계와; 경매물품리스트가 포함된 경매메일을 상기 사용자의 인터넷메일주소로 수신하는 단계와; 상기 사용자가 상기 경매물품리스트중 하나의 물품을 클릭하면, 경매물품의 세부내역을 디스플레이하는 단계와; 상기 경매물품의 세부내역과 동일한 화면상에 구비된 예약버튼을 눌러서 사용자가 예약하였는지 여부를 판단하는 단계와; 상기 예약버튼을 눌러서 사용자가 원하는 경매물품을 예약하였을 경우에, 그 경매물품의 인터넷경매 시작하기 전에 상기 경매프로그램을 실행하는 단계와; 상기 경매프로그램의 로그인 윈도우에 아이디 및 비밀번호를 입력함으로써 로그인하는 단계와; 상기 예약된 물품과 그 시간에 시작되는 인터넷경매물품을 디스플레이하는 단계를 포함한다. 인터넷경매, 메일경매, 동영상경매진행",거절
"본 발명은 사용자가 착석하여 안마기능을 수행하는 안마의자에 관한 것으로, 다양한 기능을 탑재하여 사용자의 사용상 편의성을 부여할 수 있다.",등록
"본 발명은 사용자가 착석하여 안마기능을 수행하는 안마의자에 관한 것으로, 다양한 기능을 탑재하여 사용자의 사용상 편의성을 부여할 수 있다..1",등록
"본 발명은 적어도 하나의 와이파이 비콘 신호 발생기와, 보호자 단말기와, 감시자 단말기 및 운영자 단말기와 네트워크를 통하여 연결된 서버 컴퓨터를 구비한 컴퓨터 시스템을 이용하여 와이파이 비콘 기반의 위치 추적 서비스를 운영하는 방법에 있어서, 피보호자가 보호 범위를 벗어나서 와이파이 비콘 신호 발생기로부터 와이파이 비콘 신호가 수신되지 않거나 약해지면 상기 보호자 단말기로부터 전송되는 개입 요청 신호를 인가받아 예상 수색 범위 내의 감시자 단말기에 설치된 감시 어플리케이션을 활성화시키는 활성 신호를 전송하고, 활성된 상기 감시자 단말기의 상기 감시 어플리케이션에 의해 상기 감시자 단말기의 감시 범위 이내에서 상기 와이파이 비콘 신호 발생기의 와이파이 비콘 신호가 감지되어 상기 감시자 단말기로부터 상기 감시자 단말기의 위치 신호 또는 상기 와이파이 비콘 신호 발생기의 위치 신호를 인가받아 상기 보호자 단말기로 실종자 발견 신호를 전송할 수 있다.",등록
"본 발명은 에코, 나노, 미니, 비비, 그린, 청정, 정화, 살균, 소독, 디톡, 처리, 내진, 방진, 배달, 택배, 자동, 수동, 로봇, 자화, 진동, 가진, 오존, 기능, 기능성, 미생물, 바이오, 음이온, 친환경, 스마트, 디지털, 가상, 사이버, 아바타, 황토, 피톤, 편백, 저탄소, 녹색성장, 마이크로, 메타버스, 하이브리드, 인텔리전트 등의 장치, 장비, 자재, 재료, 물품, 물체, 물질, 일, 작업, 업무, 제조, 공사, 정화, 청정, 처리, 공정, 방법, 공법, 시설, 건물, 구조물, 드론, 킥보드, 시스템, 모빌리티, 3D프린터 등에 관한 것이다.",거절
"본 발명은 개인정보유출차단시스템에 관한 것으로, 좀 더 구체적으로 설명하면 웹서버(20)의 관련정보로부터 추출된 텍스트 정보(손글씨 포함) 토대로 CNN모듈(34)이 룰처리DB(35)에 오탐된 결과나 과탐된 결과를 자동으로 패치시켜, 개인정보검출처리부(36)가 패치된 룰처리DB(35)를 기반으로 클라이언트(10)로 관련정보를 제공할 것인지 아니면 차단할 것인지 결정함으로써, 향상된 성능과 신뢰성을 가진 개인정보유출차단시스템을 서비스할 수 있는 것이다.",등록
"본 발명은 그래핀의 개질 방법 및 장치에 관한 것이다. 보다 상세하게는, 아임계 또는 초임계 이산화탄소에 의한 그래핀의 개질 과정을 여러 번 반복하여 목적하는 결정 크기의 그래핀을 얻을 수 있는 그래핀의 개질 방법 및 장치에 관한 것이다. 본 발명의 그래핀 개질 방법 및 장치에 따르면, 전기전도도 및 분산성이 우수한 그래핀을 얻을 수 있다.",등록
"본 발명은 산소 원자의 함량이 일정 범위 이하이고, 특정 범위의 탄소/산소 중량비를 갖고 있어, 우수한 전기적, 열적 전도 특성 및 배리어 특성을 갖는 그래핀에 관한 것이다. 또한, 본 발명은 아임계 내지 초임계 상태의 유체를 이용하여 우수한 전기적, 열적 전도 특성 및 배리어 특성을 갖는 그래핀을 제조하는 방법 및 제조 장치에 관한 것이다. 본 발명의 그래핀 제조 방법 및 제조 장치에 따르면, 그래핀의 산화물 등 불순물을 효과적으로 제거할 수 있어, 제조되는 그래핀의 균일성을 높일 수 있고, 이에 따라, 산업재 전반에 걸친 응용에 적용성이 높은 그래핀을 대량 생산할 수 있다.",등록
"본 발명은 다양한 제품에 우수한 방열성과 함께, 뛰어난 내염수성, 막 강도, 부착성 또는 내스크래치성 등을 갖는 방열층의 형성을 가능케 하는 방열 도료 조성물 및 방열 구조체에 관한 것이다. 상기 방열 도료 조성물은 에폭시 수지; 경화제; 아민기, 아미드기, 카르복실기 및 히드록시기로 이루어진 군에서 선택된 1종 이상을 포함한 관능기가 결합되어 있는 탄소계 필러; 및 용매를 포함하는 것이다.",등록
"본 발명은 관능화 그래핀의 제조 방법, 제조 장치, 및 관능화 그래핀에 관한 것으로, 보다 상세하게는, 아임계 내지 초임계 상태의 유체 및 관능화 화합물을 이용하여, 우수한 전기적, 열적 전도 특성 및 배리어 특성을 갖는 관능화 그래핀을 제조하는 방법, 제조 장치, 및 관능화 그래핀에 관한 것이다.",등록
"본 발명은 분산성이 향상된 표면 처리된 탄소나노튜브를 사용하여 물 뿐만 아니라 유기 용제에 탄소나노튜브를 분산시켜 분산 안정성이 증대된 고농도 탄소나노튜브 분산액에 관한 것으로 표면 처리된 탄소나노튜브, 분산제 및 분산매를 포함하되 표면 처리된 탄소나노튜브는 표면 처리된 탄소나노튜브 전체중량에 대하여 산소, 질소 및 황 또는 이들의 혼합물을 포함하는 작용기가 포함되는데 특징이 있다. 본 발명에 따른 탄소나노튜브 분산액은 종래에 비하여 분산성이 향상될 뿐 아니라 구체적으로 CNT의 균일한 분포도 확보, 우수한 장기 분산 안정성, 응용분야의 확대 및 CNT 표면 처리 중 발생되는 CNT의 손상을 최소화하여 전기 전도성· 열 전도성· 기계적 특성 등이 매우 향상되는 장점이 있다.",등록
